,Titles,Variable,Value
213,ばいばい、アース,1,・WOWOW: 7/12(金) 23:30
214,[再] ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,1,・TOKYO MX: 7/5(金) 24:00
215,異世界スーサイド・スクワッド,1,TOKYO MX、BS11にて放送予定
216,[再] Fate/stay night [Unlimited Blade Works],1,・BS11: 7/5(金) 25:00
217,グレンダイザーU,1,・テレビ東京: 7/5(金) 25:23
218,ダンジョンの中のひと,1,・MBS: 7/5(金) 25:53
219,未来の黒幕系悪役令嬢モリアーティーの異世界完全犯罪白書,1,・CBCテレビ: 7/19(金) 25:56
220,[再] 機甲創世記モスピーダ,1,・BS12: 7/5(金) 26:00
221,この世界は不完全すぎる,1,・TBS: 7/5(金) 26:23
222,[再] ダイヤのA actII (第3期),1,・BSJapanext: 6/21(金) 26:30
223,こねこのチー ポンポンらー夏休み (第5期),1,・Netflix: 7/19(金)
224,貼りまわれ！こいぬ (第2期),1,・テレビ東京: 7/6(土) 07:00
225,カードファイト!! ヴァンガード Divinez Season2,1,・テレビ東京系列6局ネット: 7/6(土) 08:00
226,[再] オーイ！とんぼ,1,・テレビ東京系列: 7/6(土) 10:00
227,[再] 機動武闘伝Gガンダム,1,・BS11: 7/27(土) 19:00
228,〈物語〉シリーズ オフ＆モンスターシーズン,1,・ABEMA: 7/6(土) 22:00
229,モブから始まる探索英雄譚,1,TOKYO MX、BS日テレにて放送予定
230,なぜ僕の世界を誰も覚えていないのか？,1,TOKYO MX、BS朝日、関西テレビほかにて放送
231,[再] VAZZROCK THE ANIMATION,1,・BS日テレ: 7/6(土) 23:00
232,天穂のサクナヒメ,1,・テレビ東京: 7/6(土) 23:00
233,逃げ上手の若君,1,・TOKYO MX: 7/6(土) 23:30
234,烏は主を選ばない,1,・NHK総合: 4/6(土) 23:45
235,ATRI -My Dear Moments-,1,・TOKYO MX: 7/13(土) 24:00
236,負けヒロインが多すぎる！,1,・TOKYO MX: 7/13(土) 24:30
237,ザ・ファブル,1,・日本テレビ: 4/6(土) 24:55
238,現代誤訳,1,・TOKYO MX: 7/6(土) 25:00
239,エルフさんは痩せられない。,1,・TOKYO MX: 7/6(土) 25:30
240,小市民シリーズ,1,・テレビ朝日系全国24局ネット“NUMAnimation”枠: 7/6(土) 25:40
241,[再] 犬になったら好きな人に拾われた。,1,・TOKYO MX: 7/6(土) 25:45
242,[再] いわかける！,1,・ABCテレビ・テレビ朝日系列全国24局ネット: 7/6(土) 26:00
243,魔導具師ダリヤはうつむかない,1,・MBS: 7/6(土) 27:38
244,わんだふるぷりきゅあ︕,2,・BSS山陰放送: 2/11(日) 06:15
245,新幹線変形ロボ シンカリオン チェンジ ザ ワールド,2,・BSテレ東: 4/7(日) 24:35
246,杖と剣のウィストリア,2,・BS日テレ: 7/16(火) 24:00
247,キャプテン翼シーズン2 ジュニアユース編,2,放送情報詳細
248,FAIRY TAIL 100年クエスト,2,放送情報詳細
249,0歳児スタートダッシュ物語,2,放送情報詳細
250,[再] ハクション大魔王,2,放送情報詳細
251,[再] アイドルマスター シンデレラガールズ,2,・TOKYO MX: 4/7(日) 21:30
252,伊藤潤二 マニアック,2,放送情報詳細
253,神之塔 -Tower of God- (第2期),2,・サンテレビ: 7/7(日) 23:30
254,[再] 転生貴族、鑑定スキルで成り上がる,2,放送情報詳細
255,キン肉マン 完璧超人始祖編 (第3期),2,・BS11: 7/12(金) 18:30
256,しかのこのこのここしたんたん,2,・BS日テレ: 7/7(日) 23:30
257,菜なれ花なれ,2,・BSテレ東: 7/8(月) 24:30
258,VTuberなんだが配信切り忘れたら伝説になってた,2,・サンテレビ: 7/7(日) 24:30
259,よあそびぐらしっ！,2,・BS11: 7/7(日) 25:00
260,異世界ゆるり紀行 ～子育てしながら冒険者します～,2,・BSテレ東: 7/11(木) 24:30
261,闇芝居 十三期,2,放送情報詳細
262,[再] ゲゲゲの鬼太郎 (第6期),2,放送情報詳細
263,[再] ゾイド -ZOIDS-,2,放送情報詳細
264,[再] ぷにるんず,2,放送情報詳細
265,真夜中ぱんチ,2,・BS11: 7/8(月) 23:00
266,[再] MFゴースト,2,放送情報詳細
267,[再] カードファイト!! ヴァンガード Divinez,2,毎週2話連続放送
268,[再] 文豪ストレイドッグス 第2シーズン,2,放送情報詳細
269,NINJA KAMUI,2,放送情報詳細
270,SHY (第2期),2,・BS日テレ: 7/1(月) 24:30
271,[再] 五等分の花嫁,2,放送情報詳細
272,[再] ゴールデンカムイ 第三期,2,放送情報詳細
273,狼と香辛料 merchant meets the wise wolf,2,・テレビ大阪: 4/1(月) 25:30
274,新米オッサン冒険者、最強パーティに死ぬほど鍛えられて無敵になる。,2,・MBS: 7/2(火) 26:30
275,[再] ＧＯ！ＧＯ！アトム,2,放送情報詳細
276,[再] 名探偵ホームズ,2,放送情報詳細
277,[再] マジンガーＺ,2,放送情報詳細
278,[再] 機動戦士ガンダムSEED HDリマスター,2,放送情報詳細
279,僕の妻は感情がない,2,・MBS: 7/2(火) 27:00
280,かつて魔法少女と悪は敵対していた。,2,・TOKYO MX: 7/9(火) 23:30
281,[再] 徒然チルドレン,2,放送情報詳細
282,[再] 有頂天家族2,2,放送情報詳細
283,[再] 即死チートが最強すぎて、異世界のやつらがまるで相手にならないんですが。,2,・TOKYO MX: 7/4(木) 22:00
284,[再] モノノ怪,2,放送情報詳細
285,異世界失格,2,・BS11: 7/9(火) 24:30
286,[再] 呪術廻戦,2,放送情報詳細
287,[再] 超普通県チバ伝説 (第4期),2,放送情報詳細
288,[再] その着せ替え人形は恋をする,2,放送情報詳細
289,銀河英雄伝説 Die Neue These 激突 (第3期),2,放送情報詳細
290,多数欠,2,次回以降25:59〜
291,ライジングインパクト シーズン2,2,Netflix
292,[再] おジャ魔女どれみ,2,放送情報詳細
293,[再] キラッとプリ☆チャン,2,放送情報詳細
294,[再] デリシャスパーティ♡プリキュア,2,放送情報詳細
295,湖池屋SDGs劇場 サスとテナ シーズン5,2,放送情報詳細
296,魔王軍最強の魔術師は人間だった,2,・BS朝日: 7/5(金) 23:00
297,[再] TSUKIPRO THE ANIMATION,2,・BS日テレ: 7/3(水) 23:00
298,【推しの子】 (第2期),2,・BS11: 7/3(水) 24:00
299,時々ボソッとロシア語でデレる隣のアーリャさん,2,・BS日テレ: 7/3(水) 24:30
300,[再] 明治撃剣－1874－,2,放送情報詳細
301,戦国妖狐 千魔混沌編 (第2期),2,・メ～テレ: 7/17(水) 25:29
302,[再] 精霊幻想記,2,放送情報詳細
303,デリコズ・ナーサリー,2,・BS11: 8/7(水) 24:30
304,[再] 柚木さんちの四兄弟。,2,放送情報詳細
305,恋は双子で割り切れない,2,・サンテレビ: 7/10(水) 25:00
306,[再] カミエラビ,2,・BSフジ: 7/10(水) 24:00
307,下の階には澪がいる,2,・BSフジ: 7/9(火) 24:30
308,キミと僕の最後の戦場、あるいは世界が始まる聖戦 season II,2,・BS11: 7/10(水) 25:30
309,T・Pぼん シーズン2,2,Netflix
310,[再] ドキドキ！プリキュア,2,放送情報詳細
311,義妹生活,2,・BS11: 7/4(木) 23:30
312,[再] BanG Dream! It's MyGO!!!!!,2,・BS日テレ: 7/4(木) 24:00
313,[再] HUNTER×HUNTER(2011年版),2,放送情報詳細
314,黄昏アウトフォーカス,2,・BSフジ: 7/4(木) 24:30
315,[再] ARIA The NATURAL (第2期),2,放送情報詳細
316,ラーメン赤猫,2,放送情報詳細
317,俺は全てを【パリイ】する〜逆勘違いの世界最強は冒険者になりたい〜,2,・BS11: 7/4(木) 24:00
318,女神のカフェテラス (第2期),2,・BS日テレ: 7/5(金) 22:30
319,疑似ハーレム,2,・ABEMA: 7/4(木) 24:30
320,[再] アルドノア・ゼロ,2,放送情報詳細
321,ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで,2,・IBC岩手放送: 7/4(木) 24:59
322,先輩はおとこのこ,2,次回以降24時55分～
323,[再] 七つの大罪 黙示録の四騎士,2,・TBS系: 7/4(木) 25:29
324,[再] 最強タンクの迷宮攻略〜体力9999のレアスキル持ちタンク、勇者パーティーを追放される〜,2,放送情報詳細
325,君に届け 3RD SEASON,2,・
326,Terminator Zero,2,Netflix
327,BEYBLADE X,2,・テレビ大阪: 10/6(金) 18:25
328,[再] 僕のヒーローアカデミア (第1期),2,放送情報詳細
329,[再] 機動戦士ガンダム 水星の魔女,2,放送情報詳細
330,[再] 百姓貴族,2,放送情報詳細
331,[再] イナズマイレブン フットボールフロンティア編,2,放送情報詳細
332,2.5次元の誘惑(リリサ),2,・TOKYO MX: 7/5(金) 22:30
333,転生したらスライムだった件 第3期,2,・BS11: 4/6(土) 22:00
334,NieR:Automata Ver1.1a 第2クール,2,・とちぎテレビ: 7/5(金) 23:30
335,ばいばい、アース,2,・BS日テレ: 7/13(土) 24:30
336,[再] ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,2,・BS11: 7/5(金) 24:00
337,異世界スーサイド・スクワッド,2,・TOKYO MX: 7/5(金) 24:30
338,[再] Fate/stay night [Unlimited Blade Works],2,7月5日、7月12日は1時間SP放送
339,グレンダイザーU,2,・BSテレ東: 7/10(水) 24:30
340,ダンジョンの中のひと,2,・TBS: 7/5(金) 25:53
341,未来の黒幕系悪役令嬢モリアーティーの異世界完全犯罪白書,2,放送情報詳細
342,[再] 機甲創世記モスピーダ,2,放送情報詳細
343,この世界は不完全すぎる,2,・MBS: 7/5(金) 26:23
344,[再] ダイヤのA actII (第3期),2,毎週月曜～金曜放送
345,こねこのチー ポンポンらー夏休み (第5期),2,放送情報詳細
346,貼りまわれ！こいぬ (第2期),2,「イニミニマニモ」内にて
347,カードファイト!! ヴァンガード Divinez Season2,2,・BS日テレ: 7/6(土) 23:30
348,[再] オーイ！とんぼ,2,放送情報詳細
349,[再] 機動武闘伝Gガンダム,2,毎週2話連続放送
350,〈物語〉シリーズ オフ＆モンスターシーズン,2,放送情報詳細
351,モブから始まる探索英雄譚,2,・TOKYO MX: 7/6(土) 22:00
352,なぜ僕の世界を誰も覚えていないのか？,2,・TOKYO MX: 7/13(土) 22:30
353,[再] VAZZROCK THE ANIMATION,2,放送情報詳細
354,天穂のサクナヒメ,2,・テレビ大阪: 7/6(土) 23:00
355,逃げ上手の若君,2,・BS11: 7/6(土) 23:30
356,烏は主を選ばない,2,放送情報詳細
357,ATRI -My Dear Moments-,2,・BS11: 7/13(土) 24:00
358,負けヒロインが多すぎる！,2,・群馬テレビ: 7/13(土) 24:30
359,ザ・ファブル,2,・青森放送: 4/6(土) 24:55
360,現代誤訳,2,・BS11: 7/6(土) 25:00
361,エルフさんは痩せられない。,2,・BS11: 7/6(土) 25:30
